TREE0_LABEL	TREE0_HEAD	TREE0_HEADPOS	TREE1_LABEL	TREE1_HEAD	TREE1_HEADPOS	TREE2_LABEL	TREE2_HEAD	TREE2_HEADPOS	TREE3_LABEL	TREE3_HEAD	ANTECEDENT_CARRIED	WORD_NEXT0_LEX	WORD_NEXT0_POS	WORD_NEXT1_LEX	WORD_NEXT1_POS	ACTION	ACTION_RESULT_LABEL	ACTION_PREV	FREQ	ACTIVATION
PP_BAR	toward	IN	IN	toward	 	VBD	walk	 	CC	and	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	toward	IN	VBD	walk	 	CC	and	 	VP	stepped	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	walk	VBD	VBD	walk	 	CC	and	 	VP	stepped	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	walk	VBD	CC	and	 	VP	step	VBD	NP	lucy	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	walk	VBD	CC	and	 	VP	step	VBD	NP	lucy	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	walk	VBD	VP	step	VBD	NP	lucy	NNP	,	,	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	walk	VBD	NP	lucy	NNP	,	,	 	S	hastened	NO	.	.	noword	NOPOS	shift	''	reduce_binary	1	-9.294198074178478
.	.	 	VP	walk	VBD	NP	lucy	NNP	,	,	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	shift	1	-9.294198074178478
S_BAR	walk	VBD	VP	walk	VBD	NP	lucy	NNP	,	,	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	walk	VBD	NP	lucy	NNP	,	,	 	S	hastened	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	walk	VBD	,	,	 	S	hasten	VBN	NOPOS	noword	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	walk	VBD	S	hasten	VBN	NOPOS	noword	 		 	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_binary	1	-9.294198074178478
PRP	it	 	NOPOS	noword	 		 	 		 	NO	was	VBD	jill	NNP	reduce_unary	NP	shift	1	-9.294198074178478
NP	it	PRP	NOPOS	noword	 		 	 		 	NO	was	VBD	jill	NNP	shift	''	reduce_unary	1	-9.294198074178478
VBD	be	 	NP	it	PRP	NOPOS	noword	 		 	NO	jill	NNP	who	WP	shift	''	shift	1	-9.294198074178478
NNP	jill	 	VBD	be	 	NP	it	PRP	NOPOS	noword	NO	who	WP	in	IN	reduce_unary	NP	shift	1	-9.294198074178478
NP	jill	NNP	VBD	be	 	NP	it	PRP	NOPOS	noword	NO	who	WP	in	IN	shift	''	reduce_unary	1	-9.294198074178478
WP	who	 	NP	jill	NNP	VBD	be	 	NP	it	NO	in	IN	her	PRPtranslated_dollar	reduce_unary	WHNP	shift	1	-9.294198074178478
WHNP	who	WP	NP	jill	NNP	VBD	be	 	NP	it	YES	in	IN	her	PRPtranslated_dollar	shift	''	reduce_unary	1	-9.294198074178478
IN	in	 	WHNP	who	WP	NP	jill	NNP	VBD	was	YES	her	PRPtranslated_dollar	final	JJ	shift	''	shift	1	-9.294198074178478
PRPtranslated_dollar	her	 	IN	in	 	WHNP	who	WP	NP	jill	YES	final	JJ	year	NN	shift	''	shift	1	-9.294198074178478
JJ	final	 	PRPtranslated_dollar	her	 	IN	in	 	WHNP	who	YES	year	NN	of	IN	shift	''	shift	1	-9.294198074178478
NN	year	 	JJ	final	 	PRPtranslated_dollar	her	 	IN	in	YES	of	IN	high	JJ	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	year	NN	JJ	final	 	PRPtranslated_dollar	her	 	IN	in	YES	of	IN	high	JJ	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	year	NN	PRPtranslated_dollar	her	 	IN	in	 	WHNP	who	YES	of	IN	high	JJ	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	year	NN	IN	in	 	WHNP	who	WP	NP	jill	YES	of	IN	high	JJ	shift	''	reduce_binary	1	-9.294198074178478
IN	of	 	NP	year	NN	IN	in	 	WHNP	who	YES	high	JJ	school	NN	shift	''	shift	1	-9.294198074178478
JJ	high	 	IN	of	 	NP	year	NN	IN	in	YES	school	NN	had	VBD	shift	''	shift	1	-9.294198074178478
NN	school	 	JJ	high	 	IN	of	 	NP	year	YES	had	VBD	become	VBN	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	school	NN	JJ	high	 	IN	of	 	NP	year	YES	had	VBD	become	VBN	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	school	NN	IN	of	 	NP	year	NN	IN	in	YES	had	VBD	become	VBN	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	of	IN	IN	of	 	NP	year	NN	IN	in	YES	had	VBD	become	VBN	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	of	IN	NP	year	NN	IN	in	 	WHNP	who	YES	had	VBD	become	VBN	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	year	NN	NP	year	NN	IN	in	 	WHNP	who	YES	had	VBD	become	VBN	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	year	NN	IN	in	 	WHNP	who	WP	NP	jill	YES	had	VBD	become	VBN	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	in	IN	IN	in	 	WHNP	who	WP	NP	jill	YES	had	VBD	become	VBN	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	in	IN	WHNP	who	WP	NP	jill	NNP	VBD	was	YES	had	VBD	become	VBN	postulate_gap	*t*	reduce_binary	1	-9.294198074178478
-NONE-	*t*	 	PP	in	IN	WHNP	who	WP	NP	jill	NO	had	VBD	become	VBN	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*t*	-NONE-	PP	in	IN	WHNP	who	WP	NP	jill	NO	had	VBD	become	VBN	shift	''	reduce_unary	1	-9.294198074178478
VBD	have	 	NP	*t*	-NONE-	PP	in	IN	WHNP	who	NO	become	VBN	involved	VBN	shift	''	shift	1	-9.294198074178478
VBN	become	 	VBD	have	 	NP	*t*	-NONE-	PP	in	NO	involved	VBN	in	IN	postulate_gap	*	shift	1	-9.294198074178478
-NONE-	*	 	VBN	become	 	VBD	have	 	NP	*t*	NO	involved	VBN	in	IN	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*	-NONE-	VBN	become	 	VBD	have	 	NP	*t*	NO	involved	VBN	in	IN	shift	''	reduce_unary	1	-9.294198074178478
VBN	involve	 	NP	*	-NONE-	VBN	become	 	VBD	had	NO	in	IN	helping	VBG	shift	''	shift	1	-9.294198074178478
IN	in	 	VBN	involve	 	NP	*	-NONE-	VBN	become	NO	helping	VBG	organize	VB	postulate_gap	*	shift	1	-9.294198074178478
-NONE-	*	 	IN	in	 	VBN	involve	 	NP	*	NO	helping	VBG	organize	VB	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*	-NONE-	IN	in	 	VBN	involve	 	NP	*	NO	helping	VBG	organize	VB	shift	''	reduce_unary	1	-9.294198074178478
VBG	help	 	NP	*	-NONE-	IN	in	 	VBN	involved	NO	organize	VB	this	DT	postulate_gap	*	shift	1	-9.294198074178478
-NONE-	*	 	VBG	help	 	NP	*	-NONE-	IN	in	NO	organize	VB	this	DT	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*	-NONE-	VBG	help	 	NP	*	-NONE-	IN	in	NO	organize	VB	this	DT	shift	''	reduce_unary	1	-9.294198074178478
VB	organize	 	NP	*	-NONE-	VBG	help	 	NP	*	NO	this	DT	year	NN	shift	''	shift	1	-9.294198074178478
DT	this	 	VB	organize	 	NP	*	-NONE-	VBG	helping	NO	year	NN	translated_aposs	POS	shift	''	shift	1	-9.294198074178478
NN	year	 	DT	this	 	VB	organize	 	NP	*	NO	translated_aposs	POS	school	NN	shift	''	shift	1	-9.294198074178478
POS	's	 	NN	year	 	DT	this	 	VB	organize	NO	school	NN	talent	NN	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	's	POS	NN	year	 	DT	this	 	VB	organize	NO	school	NN	talent	NN	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	's	POS	DT	this	 	VB	organize	 	NP	*	NO	school	NN	talent	NN	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	's	POS	VB	organize	 	NP	*	-NONE-	VBG	helping	NO	school	NN	talent	NN	shift	''	reduce_binary	1	-9.294198074178478
NN	school	 	NP	's	POS	VB	organize	 	NP	*	NO	talent	NN	show	NN	shift	''	shift	1	-9.294198074178478
NN	talent	 	NN	school	 	NP	's	POS	VB	organize	NO	show	NN	,	,	shift	''	shift	1	-9.294198074178478
NN	show	 	NN	talent	 	NN	school	 	NP	's	NO	,	,	and	CC	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	show	NN	NN	talent	 	NN	school	 	NP	's	NO	,	,	and	CC	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	show	NN	NN	school	 	NP	's	POS	VB	organize	NO	,	,	and	CC	reduce_binary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	show	NN	NP	's	POS	VB	organize	 	NP	*	NO	,	,	and	CC	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	show	NN	VB	organize	 	NP	*	-NONE-	VBG	helping	NO	,	,	and	CC	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	organize	VB	VB	organize	 	NP	*	-NONE-	VBG	helping	NO	,	,	and	CC	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	organize	VB	NP	*	-NONE-	VBG	help	 	NP	*	NO	,	,	and	CC	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	organize	VB	NP	*	-NONE-	VBG	help	 	NP	*	NO	,	,	and	CC	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	organize	VB	VBG	help	 	NP	*	-NONE-	IN	in	NO	,	,	and	CC	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	organize	VB	VBG	help	 	NP	*	-NONE-	IN	in	NO	,	,	and	CC	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	organize	VB	NP	*	-NONE-	IN	in	 	VBN	involved	NO	,	,	and	CC	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	organize	VB	NP	*	-NONE-	IN	in	 	VBN	involved	NO	,	,	and	CC	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	organize	VB	IN	in	 	VBN	involve	 	NP	*	NO	,	,	and	CC	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	in	IN	IN	in	 	VBN	involve	 	NP	*	NO	,	,	and	CC	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	in	IN	VBN	involve	 	NP	*	-NONE-	VBN	become	NO	,	,	and	CC	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	involve	VBN	VBN	involve	 	NP	*	-NONE-	VBN	become	NO	,	,	and	CC	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	involve	VBN	NP	*	-NONE-	VBN	become	 	VBD	had	NO	,	,	and	CC	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	involve	VBN	NP	*	-NONE-	VBN	become	 	VBD	had	NO	,	,	and	CC	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	involve	VBN	VBN	become	 	VBD	have	 	NP	*t*	NO	,	,	and	CC	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	involve	VBN	VBN	become	 	VBD	have	 	NP	*t*	NO	,	,	and	CC	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	involve	VBN	VBD	have	 	NP	*t*	-NONE-	PP	in	NO	,	,	and	CC	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	involve	VBN	VBD	have	 	NP	*t*	-NONE-	PP	in	NO	,	,	and	CC	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	involve	VBN	NP	*t*	-NONE-	PP	in	IN	WHNP	who	NO	,	,	and	CC	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	involve	VBN	NP	*t*	-NONE-	PP	in	IN	WHNP	who	NO	,	,	and	CC	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	involve	VBN	PP	in	IN	WHNP	who	WP	NP	jill	NO	,	,	and	CC	reduce_binary	S	reduce_binary	1	-9.294198074178478
S	involve	VBN	WHNP	who	WP	NP	jill	NNP	VBD	was	NO	,	,	and	CC	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	who	WP	WHNP	who	WP	NP	jill	NNP	VBD	was	NO	,	,	and	CC	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	who	WP	NP	jill	NNP	VBD	be	 	NP	it	NO	,	,	and	CC	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	jill	NNP	NP	jill	NNP	VBD	be	 	NP	it	NO	,	,	and	CC	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	jill	NNP	VBD	be	 	NP	it	PRP	NOPOS	noword	NO	,	,	and	CC	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
,	,	 	S	be	VBD	NOPOS	noword	 		 	NO	and	CC	she	PRP	shift	''	shift	1	-9.294198074178478
CC	and	 	,	,	 	S	be	VBD	NOPOS	noword	NO	she	PRP	took	VBD	shift	''	shift	1	-9.294198074178478
PRP	she	 	CC	and	 	,	,	 	S	was	NO	took	VBD	her	PRPtranslated_dollar	reduce_unary	NP	shift	1	-9.294198074178478
NP	she	PRP	CC	and	 	,	,	 	S	was	NO	took	VBD	her	PRPtranslated_dollar	shift	''	reduce_unary	1	-9.294198074178478
VBD	take	 	NP	she	PRP	CC	and	 	,	,	NO	her	PRPtranslated_dollar	position	NN	shift	''	shift	1	-9.294198074178478
PRPtranslated_dollar	her	 	VBD	take	 	NP	she	PRP	CC	and	NO	position	NN	very	RB	shift	''	shift	1	-9.294198074178478
NN	position	 	PRPtranslated_dollar	her	 	VBD	take	 	NP	she	NO	very	RB	seriously	RB	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	position	NN	PRPtranslated_dollar	her	 	VBD	take	 	NP	she	NO	very	RB	seriously	RB	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	position	NN	VBD	take	 	NP	she	PRP	CC	and	NO	very	RB	seriously	RB	shift	''	reduce_binary	1	-9.294198074178478
RB	very	 	NP	position	NN	VBD	take	 	NP	she	NO	seriously	RB	.	.	shift	''	shift	1	-9.294198074178478
RB	seriously	 	RB	very	 	NP	position	NN	VBD	took	NO	.	.	noword	NOPOS	reduce_unary	ADVP_BAR	shift	1	-9.294198074178478
ADVP_BAR	seriously	RB	RB	very	 	NP	position	NN	VBD	took	NO	.	.	noword	NOPOS	reduce_binary	ADVP	reduce_unary	1	-9.294198074178478
ADVP	seriously	RB	NP	position	NN	VBD	take	 	NP	she	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	take	VBD	NP	position	NN	VBD	take	 	NP	she	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	take	VBD	VBD	take	 	NP	she	PRP	CC	and	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	take	VBD	NP	she	PRP	CC	and	 	,	,	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	take	VBD	NP	she	PRP	CC	and	 	,	,	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	take	VBD	CC	and	 	,	,	 	S	was	NO	.	.	noword	NOPOS	shift	''	reduce_binary	1	-9.294198074178478
S_BAR	take	VBD	CC	and	 	,	,	 	S	was	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	take	VBD	,	,	 	S	be	VBD	NOPOS	noword	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	take	VBD	S	be	VBD	NOPOS	noword	 		 	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_binary	1	-9.294198074178478
NOPOS	noword	 		 	 		 	 		 	NO	lucy	NNP	hurried	VBN	shift	''		1	-9.294198074178478
NNP	lucy	 	NOPOS	noword	 		 	 		 	NO	hurried	VBN	behind	IN	reduce_unary	NP	shift	1	-9.294198074178478
NP	lucy	NNP	NOPOS	noword	 		 	 		 	NO	hurried	VBN	behind	IN	shift	''	reduce_unary	1	-9.294198074178478
VBN	hurry	 	NP	lucy	NNP	NOPOS	noword	 		 	NO	behind	IN	jill	NNP	shift	''	shift	1	-9.294198074178478
IN	behind	 	VBN	hurry	 	NP	lucy	NNP	NOPOS	noword	NO	jill	NNP	,	,	shift	''	shift	1	-9.294198074178478
NNP	jill	 	IN	behind	 	VBN	hurry	 	NP	lucy	NO	,	,	pulling	VBG	reduce_unary	NP	shift	1	-9.294198074178478
NP	jill	NNP	IN	behind	 	VBN	hurry	 	NP	lucy	NO	,	,	pulling	VBG	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	behind	IN	IN	behind	 	VBN	hurry	 	NP	lucy	NO	,	,	pulling	VBG	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	behind	IN	VBN	hurry	 	NP	lucy	NNP	NOPOS	noword	NO	,	,	pulling	VBG	shift	''	reduce_binary	1	-9.294198074178478
,	,	 	PP	behind	IN	VBN	hurry	 	NP	lucy	NO	pulling	VBG	on	IN	postulate_gap	*	shift	1	-9.294198074178478
-NONE-	*	 	,	,	 	PP	behind	IN	VBN	hurried	NO	pulling	VBG	on	IN	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*	-NONE-	,	,	 	PP	behind	IN	VBN	hurried	NO	pulling	VBG	on	IN	shift	''	reduce_unary	1	-9.294198074178478
VBG	pull	 	NP	*	-NONE-	,	,	 	PP	behind	NO	on	IN	the	DT	shift	''	shift	1	-9.294198074178478
IN	on	 	VBG	pull	 	NP	*	-NONE-	,	,	NO	the	DT	worn	JJ	shift	''	shift	1	-9.294198074178478
DT	the	 	IN	on	 	VBG	pull	 	NP	*	NO	worn	JJ	,	,	shift	''	shift	1	-9.294198074178478
JJ	worn	 	DT	the	 	IN	on	 	VBG	pulling	NO	,	,	oversized	JJ	shift	''	shift	1	-9.294198074178478
,	,	 	JJ	worn	 	DT	the	 	IN	on	NO	oversized	JJ	coat	NN	shift	''	shift	1	-9.294198074178478
JJ	oversized	 	,	,	 	JJ	worn	 	DT	the	NO	coat	NN	that	WDT	shift	''	shift	1	-9.294198074178478
NN	coat	 	JJ	oversized	 	,	,	 	JJ	worn	NO	that	WDT	had	VBD	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	coat	NN	JJ	oversized	 	,	,	 	JJ	worn	NO	that	WDT	had	VBD	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	coat	NN	,	,	 	JJ	worn	 	DT	the	NO	that	WDT	had	VBD	reduce_binary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	coat	NN	JJ	worn	 	DT	the	 	IN	on	NO	that	WDT	had	VBD	reduce_binary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	coat	NN	DT	the	 	IN	on	 	VBG	pulling	NO	that	WDT	had	VBD	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	coat	NN	IN	on	 	VBG	pull	 	NP	*	NO	that	WDT	had	VBD	shift	''	reduce_binary	1	-9.294198074178478
WDT	that	 	NP	coat	NN	IN	on	 	VBG	pulling	NO	had	VBD	originally	RB	reduce_unary	WHNP	shift	1	-9.294198074178478
WHNP	that	WDT	NP	coat	NN	IN	on	 	VBG	pulling	YES	had	VBD	originally	RB	postulate_gap	*t*	reduce_unary	1	-9.294198074178478
-NONE-	*t*	 	WHNP	that	WDT	NP	coat	NN	IN	on	NO	had	VBD	originally	RB	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*t*	-NONE-	WHNP	that	WDT	NP	coat	NN	IN	on	NO	had	VBD	originally	RB	shift	''	reduce_unary	1	-9.294198074178478
VBD	have	 	NP	*t*	-NONE-	WHNP	that	WDT	NP	coat	NO	originally	RB	belonged	VBD	shift	''	shift	1	-9.294198074178478
RB	originally	 	VBD	have	 	NP	*t*	-NONE-	WHNP	that	NO	belonged	VBD	to	TO	reduce_unary	ADVP	shift	1	-9.294198074178478
ADVP	originally	RB	VBD	have	 	NP	*t*	-NONE-	WHNP	that	NO	belonged	VBD	to	TO	shift	''	reduce_unary	1	-9.294198074178478
VBD	belong	 	ADVP	originally	RB	VBD	have	 	NP	*t*	NO	to	TO	jill	NNP	shift	''	shift	1	-9.294198074178478
TO	to	 	VBD	belong	 	ADVP	originally	RB	VBD	had	NO	jill	NNP	,	,	shift	''	shift	1	-9.294198074178478
NNP	jill	 	TO	to	 	VBD	belong	 	ADVP	originally	NO	,	,	in	IN	reduce_unary	NP	shift	1	-9.294198074178478
NP	jill	NNP	TO	to	 	VBD	belong	 	ADVP	originally	NO	,	,	in	IN	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	to	TO	TO	to	 	VBD	belong	 	ADVP	originally	NO	,	,	in	IN	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	to	TO	VBD	belong	 	ADVP	originally	RB	VBD	had	NO	,	,	in	IN	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	belong	VBD	VBD	belong	 	ADVP	originally	RB	VBD	had	NO	,	,	in	IN	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	belong	VBD	ADVP	originally	RB	VBD	have	 	NP	*t*	NO	,	,	in	IN	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	belong	VBD	ADVP	originally	RB	VBD	have	 	NP	*t*	NO	,	,	in	IN	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	belong	VBD	VBD	have	 	NP	*t*	-NONE-	WHNP	that	NO	,	,	in	IN	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	belong	VBD	NP	*t*	-NONE-	WHNP	that	WDT	NP	coat	NO	,	,	in	IN	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	belong	VBD	NP	*t*	-NONE-	WHNP	that	WDT	NP	coat	NO	,	,	in	IN	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	belong	VBD	WHNP	that	WDT	NP	coat	NN	IN	on	NO	,	,	in	IN	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	that	WDT	WHNP	that	WDT	NP	coat	NN	IN	on	NO	,	,	in	IN	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	that	WDT	NP	coat	NN	IN	on	 	VBG	pulling	NO	,	,	in	IN	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	coat	NN	NP	coat	NN	IN	on	 	VBG	pulling	NO	,	,	in	IN	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	coat	NN	IN	on	 	VBG	pull	 	NP	*	NO	,	,	in	IN	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	on	IN	IN	on	 	VBG	pull	 	NP	*	NO	,	,	in	IN	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	on	IN	VBG	pull	 	NP	*	-NONE-	,	,	NO	,	,	in	IN	shift	''	reduce_binary	1	-9.294198074178478
,	,	 	PP	on	IN	VBG	pull	 	NP	*	NO	in	IN	order	NN	shift	''	shift	1	-9.294198074178478
IN	in	 	,	,	 	PP	on	IN	VBG	pulling	NO	order	NN	to	TO	shift	''	shift	1	-9.294198074178478
NN	order	 	IN	in	 	,	,	 	PP	on	NO	to	TO	keep	VB	postulate_gap	*	shift	1	-9.294198074178478
TO	to	 	NP	*	-NONE-	NN	order	 	IN	in	NO	keep	VB	her	PRP	shift	''	shift	1	-9.294198074178478
VB	keep	 	TO	to	 	NP	*	-NONE-	NN	order	NO	her	PRP	dry	JJ	shift	''	shift	1	-9.294198074178478
PRP	her	 	VB	keep	 	TO	to	 	NP	*	NO	dry	JJ	as	IN	reduce_unary	NP	shift	1	-9.294198074178478
NP	her	PRP	VB	keep	 	TO	to	 	NP	*	NO	dry	JJ	as	IN	shift	''	reduce_unary	1	-9.294198074178478
JJ	dry	 	NP	her	PRP	VB	keep	 	TO	to	NO	as	IN	the	DT	reduce_unary	ADJP	shift	1	-9.294198074178478
ADJP	dry	JJ	NP	her	PRP	VB	keep	 	TO	to	NO	as	IN	the	DT	shift	''	reduce_unary	1	-9.294198074178478
IN	as	 	ADJP	dry	JJ	NP	her	PRP	VB	keep	NO	the	DT	raindrops	NNS	shift	''	shift	1	-9.294198074178478
DT	the	 	IN	as	 	ADJP	dry	JJ	NP	her	NO	raindrops	NNS	fell	VBD	shift	''	shift	1	-9.294198074178478
NNS	raindrop	 	DT	the	 	IN	as	 	ADJP	dry	NO	fell	VBD	all	DT	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	raindrop	NNS	DT	the	 	IN	as	 	ADJP	dry	NO	fell	VBD	all	DT	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	raindrop	NNS	IN	as	 	ADJP	dry	JJ	NP	her	NO	fell	VBD	all	DT	shift	''	reduce_binary	1	-9.294198074178478
VBD	fell	 	NP	raindrop	NNS	IN	as	 	ADJP	dry	NO	all	DT	around	IN	shift	''	shift	1	-9.294198074178478
DT	all	 	VBD	fell	 	NP	raindrop	NNS	IN	as	NO	around	IN	them	PRP	reduce_unary	NP	shift	1	-9.294198074178478
NP	 	 	VBD	fell	 	NP	raindrop	NNS	IN	as	NO	around	IN	them	PRP	shift	''	reduce_unary	1	-9.294198074178478
IN	around	 	NP	 	 	VBD	fell	 	NP	raindrops	NO	them	PRP	.	.	shift	''	shift	1	-9.294198074178478
PRP	them	 	IN	around	 	NP	 	 	VBD	fell	NO	.	.	noword	NOPOS	reduce_unary	NP	shift	1	-9.294198074178478
NP	them	PRP	IN	around	 	NP	 	 	VBD	fell	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	around	IN	IN	around	 	NP	 	 	VBD	fell	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	around	IN	NP	 	 	VBD	fell	 	NP	raindrops	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	fell	VBD	NP	 	 	VBD	fell	 	NP	raindrops	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	fell	VBD	VBD	fell	 	NP	raindrop	NNS	IN	as	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	fell	VBD	NP	raindrop	NNS	IN	as	 	ADJP	dry	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
